Month,Industry,MMFD
Apr-03,10281,4698
May-03,11683,4605
Jun-03,14042,4859
Jul-03,10283,4136
Aug-03,9522,3872
Sep-03,14263,5938
Oct-03,20264,8790
Nov-03,15778,6825
Dec-03,12758,4858
Jan-04,14297,5907
Feb-04,17521,6386
Mar-04,24773,9085
Apr-04,15714,6492
May-04,17352,6832
Jun-04,20901,8867
Jul-04,12065,4998
Aug-04,13452,5305
Sep-04,22018,7618
Oct-04,27631,11443
Nov-04,21799,8716
Dec-04,16209,6119
Jan-05,16249,7408
Feb-05,18867,7493
Mar-05,23857,8541
Apr-05,16828,8029
May-05,19062,8650
Jun-05,22724,9960
Jul-05,15320,7152
Aug-05,16936,7322
Sep-05,21986,9239
Oct-05,30998,14123
Nov-05,22359,9566
Dec-05,20860,7341
Jan-06,24057,9404
Feb-06,23506,8613
Mar-06,27985,9425
Apr-06,24416,10905
May-06,24262,9842
Jun-06,29924,12259
Jul-06,21738,9285
Aug-06,20417,7950
Sep-06,33280,11482
Oct-06,35817,15817
Nov-06,26057,10288
Dec-06,23742,8743
Jan-07,26259,10419
Feb-07,23995,8801
Mar-07,28421,8631
Apr-07,22357,9682
May-07,23488,9052
Jun-07,29631,11477
Jul-07,20594,8242
Aug-07,20051,7674
Sep-07,27466,10339
Oct-07,34778,13919
Nov-07,25839,10531
Dec-07,23053,8435
Jan-08,23548,9750
Feb-08,22619,8477
Mar-08,28817,9814
Apr-08,24644,10684
May-08,27949,11693
Jun-08,32737,14439
Jul-08,21654,9081
Aug-08,22718,9781
Sep-08,28855,10307
Oct-08,33205,14800
Nov-08,20983,7960
Dec-08,17751,6858
Jan-09,22114,9438
Feb-09,20025,8487
Mar-09,31286,10609
Apr-09,27039,11282
May-09,31113,12870
Jun-09,39396,17811
Jul-09,27219,12128
Aug-09,24434,10161
Sep-09,41338,16359
Oct-09,43171,17796
Nov-09,27743,11604
Dec-09,27424,11517
Jan-10,35941,15925
Feb-10,32140,13532
Mar-10,43245,14648
Apr-10,38301,15697
May-10,40442,16653
Jun-10,38356,15411
Jul-10,31198,13534
Aug-10,29763,12454
Sep-10,42042,16300
Oct-10,55946,23378
Nov-10,37044,16975
Dec-10,35298,15135
Jan-11,42838,19430
Feb-11,41784,17534
Mar-11,45500,17822
Apr-11,42513,17740
May-11,41874,17952
Jun-11,48716,21552
Jul-11,38577,15699
Aug-11,36407,15059
Sep-11,56864,23508
Oct-11,67886,30519
Nov-11,39735,16175
Dec-11,36604,15315
Jan-12,42277,17950
Feb-12,36701,13534
Mar-12,43541,15054
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
